policy_term,policy_payment_mode,policy_status,main_holder_smoker_flag,main_holder_gender,total_sum_assuared,premium_value,payment_method,client_code,product_code,month_rank,total_rider_prem,total_rider_sum_assuared,children_count,current_age,completed_duration,completed_ratio,is_cross_sell,preds
192,-0.0209757365603177,0.3356110295283878,0.018665512617111,-0.0112524866188775,500000.0,36084.0,0.5367842917706959,24883,1,19,1080.0,120000,0,349,0,0.0,0,1
180,-0.0209757365603177,-0.1988816350926321,0.018665512617111,-0.0112524866188775,200000.0,24084.0,0.5367842917706959,21233,1,19,1524.0,550000,0,319,11,0.0611111111111111,1,1
240,-0.0209757365603177,-0.1988816350926321,0.018665512617111,0.0062039656716371,700000.0,37884.0,0.5367842917706959,11408,1,19,0.0,0,0,305,30,0.125,1,1
240,-0.0209757365603177,-0.1988816350926321,0.018665512617111,0.0062039656716371,1570000.0,342972.0,0.5367842917706959,29166,0,19,0.0,0,0,407,10,0.0416666666666666,1,1
240,-0.0209757365603177,-0.1988816350926321,0.018665512617111,-0.0112524866188775,528000.0,38100.0,0.5367842917706959,777,1,19,1848.0,1056000,0,613,31,0.1291666666666666,1,1
180,-0.0209757365603177,-0.1988816350926321,0.018665512617111,-0.0112524866188775,70000.0,7644.0,-0.1065021106411562,19646,1,19,1788.0,190000,0,750,131,0.7277777777777777,0,1
120,-0.0209757365603177,0.3356110295283878,0.018665512617111,-0.0112524866188775,300000.0,65604.0,0.5367842917706959,17874,0,19,0.0,0,0,654,0,0.0,1,1
360,-0.0209757365603177,0.3356110295283878,0.018665512617111,0.0062039656716371,400000.0,25500.0,-0.1065021106411562,20537,1,19,1404.0,800000,1,516,0,0.0,1,1
180,-0.0209757365603177,0.3356110295283878,0.018665512617111,-0.0112524866188775,333300.0,24084.0,0.5367842917706959,23507,1,19,0.0,0,0,315,0,0.0,1,1
132,-0.1375863270313213,0.3356110295283878,0.018665512617111,0.0062039656716371,1000000.0,106076.0,0.5367842917706959,13120,2,19,5836.0,26519,0,532,0,0.0,1,1
